epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.7215,1.06635,2.17545,1.30813,0.7199,0.69184,0.74696,0.50431,1.10966,1.6046,1.31461,0.000368962,0.000368962,0.000368962
2,146.867,1.07207,1.47782,1.2735,0.78757,0.75066,0.77297,0.50311,1.24299,1.39132,1.54267,0.000724657,0.000724657,0.000724657
3,187.85,1.06442,1.20637,1.24181,0.73644,0.82813,0.77829,0.55802,1.03035,1.08958,1.18704,0.00106569,0.00106569,0.00106569
4,228.505,1.03042,1.05604,1.22159,0.82711,0.83449,0.90093,0.65617,1.00106,0.82135,1.13827,0.00104501,0.00104501,0.00104501
5,268.921,1.01107,0.96239,1.20416,0.90381,0.85019,0.92206,0.68869,0.97923,0.80181,1.15286,0.00102301,0.00102301,0.00102301
6,309.592,0.95045,0.87106,1.16836,0.83342,0.88554,0.9152,0.68295,0.96842,0.86439,1.12116,0.00100101,0.00100101,0.00100101
7,351.745,0.93241,0.83306,1.15982,0.84958,0.90573,0.93326,0.74253,0.87603,0.68379,1.09101,0.000979013,0.000979013,0.000979013
8,392.988,0.9296,0.80936,1.14982,0.87917,0.91353,0.95062,0.75937,0.89154,0.67182,1.07914,0.000957015,0.000957015,0.000957015
9,433.591,0.89611,0.78006,1.13781,0.89917,0.90661,0.95122,0.76826,0.85547,0.61729,1.058,0.000935018,0.000935018,0.000935018
10,475.091,0.87618,0.73677,1.12464,0.87907,0.87804,0.92828,0.73062,0.88843,0.59584,1.06202,0.00091302,0.00091302,0.00091302
11,516.186,0.86911,0.71093,1.12116,0.9174,0.8758,0.93949,0.75344,0.83557,0.64267,1.05585,0.000891022,0.000891022,0.000891022
12,558.092,0.84981,0.69036,1.11099,0.90723,0.92764,0.97194,0.78909,0.81155,0.51601,1.01576,0.000869024,0.000869024,0.000869024
13,600.777,0.83144,0.67365,1.10062,0.90632,0.86514,0.91647,0.74619,0.81546,0.6404,1.03758,0.000847026,0.000847026,0.000847026
14,642.475,0.82884,0.65241,1.09517,0.88422,0.9315,0.94953,0.78551,0.83357,0.55137,1.03667,0.000825029,0.000825029,0.000825029
15,684.13,0.82826,0.64481,1.09868,0.88893,0.94953,0.95744,0.79777,0.79993,0.48188,1.00688,0.000803031,0.000803031,0.000803031
16,726.778,0.80271,0.61901,1.08739,0.92835,0.94986,0.96853,0.81008,0.7866,0.4612,1.0068,0.000781033,0.000781033,0.000781033
17,768.278,0.80061,0.61822,1.08462,0.95353,0.89912,0.97216,0.80807,0.78513,0.58275,1.00397,0.000759035,0.000759035,0.000759035
18,811.025,0.79791,0.61538,1.0815,0.95239,0.93268,0.96357,0.80737,0.77561,0.48397,0.99842,0.000737037,0.000737037,0.000737037
19,855.657,0.78792,0.60263,1.07249,0.91586,0.96943,0.98371,0.81147,0.79563,0.46572,1.02319,0.00071504,0.00071504,0.00071504
20,897.183,0.75245,0.57836,1.06291,0.94048,0.96349,0.98426,0.83009,0.74585,0.4284,0.99436,0.000693042,0.000693042,0.000693042
21,939.232,0.77042,0.56099,1.06452,0.93503,0.97415,0.98391,0.81698,0.77957,0.42548,0.99387,0.000671044,0.000671044,0.000671044
22,980.705,0.76105,0.56867,1.06139,0.95103,0.96641,0.98061,0.82844,0.76117,0.45176,0.99976,0.000649046,0.000649046,0.000649046
23,1021.81,0.74703,0.55236,1.05666,0.94807,0.97663,0.98305,0.83139,0.7735,0.45983,1.01558,0.000627048,0.000627048,0.000627048
24,1062.97,0.74047,0.54595,1.05094,0.94773,0.97502,0.98795,0.84074,0.74901,0.42558,0.98791,0.000605051,0.000605051,0.000605051
25,1104.34,0.73227,0.54119,1.05081,0.90531,0.97186,0.98248,0.82948,0.77299,0.43151,1.00709,0.000583053,0.000583053,0.000583053
26,1145.82,0.7223,0.53468,1.04851,0.95294,0.92364,0.98137,0.82724,0.76287,0.44322,1.00784,0.000561055,0.000561055,0.000561055
27,1187.02,0.71946,0.52326,1.04273,0.93582,0.96373,0.97533,0.82473,0.76253,0.41689,0.99621,0.000539057,0.000539057,0.000539057
28,1228.03,0.72048,0.52385,1.04356,0.93296,0.94876,0.97078,0.83184,0.7627,0.41583,0.99595,0.000517059,0.000517059,0.000517059
29,1269.64,0.69672,0.51113,1.03229,0.92626,0.94426,0.96986,0.82392,0.7433,0.41757,0.9958,0.000495062,0.000495062,0.000495062
30,1311.57,0.69577,0.49564,1.02922,0.93824,0.93357,0.96918,0.83086,0.75406,0.4035,0.99502,0.000473064,0.000473064,0.000473064
31,1353.1,0.68627,0.49169,1.0244,0.95717,0.94778,0.96961,0.83202,0.73213,0.3974,0.98763,0.000451066,0.000451066,0.000451066
32,1394.49,0.69198,0.50062,1.02541,0.92342,0.94757,0.974,0.83488,0.74838,0.45011,0.99666,0.000429068,0.000429068,0.000429068
33,1435.93,0.67159,0.47223,1.02276,0.944,0.95479,0.98234,0.84138,0.73388,0.40259,1.00005,0.00040707,0.00040707,0.00040707
34,1479.09,0.67289,0.47559,1.01764,0.92413,0.95484,0.97187,0.83465,0.73432,0.39148,0.99967,0.000385073,0.000385073,0.000385073
35,1520.91,0.65553,0.46644,1.01563,0.95106,0.95057,0.97392,0.83421,0.74801,0.39268,1.0095,0.000363075,0.000363075,0.000363075
36,1562.21,0.66187,0.46227,1.0153,0.94661,0.94423,0.97178,0.8321,0.74215,0.40467,1.00256,0.000341077,0.000341077,0.000341077
37,1603.64,0.65267,0.45765,1.01163,0.9613,0.95957,0.97759,0.84196,0.731,0.38668,1.00256,0.000319079,0.000319079,0.000319079
38,1644.84,0.64936,0.45506,1.00603,0.95223,0.96904,0.98272,0.84337,0.7167,0.406,0.99149,0.000297081,0.000297081,0.000297081
39,1686.33,0.6397,0.4447,1.00434,0.96545,0.96565,0.98471,0.84524,0.73371,0.37534,0.99139,0.000275084,0.000275084,0.000275084
40,1727.67,0.62878,0.43091,0.99642,0.94379,0.95985,0.97701,0.8348,0.7398,0.37453,0.9916,0.000253086,0.000253086,0.000253086
41,1823.07,0.59339,0.34872,0.98039,0.94468,0.9726,0.98826,0.84809,0.72203,0.38083,0.99126,0.000231088,0.000231088,0.000231088
42,1863.88,0.58113,0.33165,0.97229,0.95277,0.96225,0.97863,0.84521,0.72611,0.36882,0.99161,0.00020909,0.00020909,0.00020909
43,1904.74,0.56858,0.32788,0.96121,0.95335,0.96725,0.98685,0.85319,0.71589,0.36628,0.9877,0.000187092,0.000187092,0.000187092
44,1944.84,0.56192,0.32052,0.95727,0.94398,0.9632,0.97729,0.8511,0.71673,0.36416,0.99564,0.000165095,0.000165095,0.000165095
45,1985.11,0.54368,0.31014,0.95082,0.95166,0.96074,0.97822,0.84695,0.73188,0.37023,1.00672,0.000143097,0.000143097,0.000143097
46,2025.95,0.54206,0.30753,0.95008,0.9594,0.97153,0.9877,0.85179,0.71554,0.3667,0.99902,0.000121099,0.000121099,0.000121099
47,2066.64,0.52705,0.30277,0.94637,0.96035,0.97199,0.98822,0.85476,0.71089,0.3693,0.9983,9.91012e-05,9.91012e-05,9.91012e-05
48,2107.54,0.52265,0.29515,0.94246,0.95091,0.96413,0.98014,0.85336,0.71756,0.3752,0.99633,7.71034e-05,7.71034e-05,7.71034e-05
49,2148.12,0.51309,0.29053,0.93649,0.94589,0.96536,0.98074,0.85091,0.71217,0.37311,0.99792,5.51056e-05,5.51056e-05,5.51056e-05
50,2188.96,0.50621,0.28464,0.92896,0.93866,0.96452,0.97871,0.84825,0.71153,0.36938,0.99879,3.31078e-05,3.31078e-05,3.31078e-05
