slice,class,support,tp,fp,fn,precision,recall,f1
synthetic_only,barcode,32,29,3,3,0.906,0.906,0.906
synthetic_only,card,48,46,4,2,0.920,0.958,0.939
synthetic_only,code_screen,24,20,5,4,0.800,0.833,0.816
synthetic_only,document,62,58,6,4,0.906,0.935,0.920
synthetic_only,face,70,68,3,2,0.958,0.971,0.965
synthetic_only,id-card,36,34,3,2,0.919,0.944,0.932
synthetic_only,license-plates,28,27,2,1,0.931,0.964,0.947
synthetic_only,passport,18,17,1,1,0.944,0.944,0.944
real_only,barcode,18,14,6,4,0.700,0.778,0.737
real_only,card,31,25,8,6,0.758,0.806,0.781
real_only,code_screen,13,9,5,4,0.643,0.692,0.667
real_only,document,44,34,9,10,0.791,0.773,0.782
real_only,face,55,50,6,5,0.893,0.909,0.901
real_only,id-card,22,16,7,6,0.696,0.727,0.711
real_only,license-plates,17,15,3,2,0.833,0.882,0.857
real_only,passport,5,3,1,2,0.750,0.600,0.667
all_images,barcode,50,43,9,7,0.827,0.860,0.843
all_images,card,79,71,12,8,0.855,0.899,0.877
all_images,code_screen,37,29,10,8,0.744,0.784,0.763
all_images,document,106,92,15,14,0.860,0.868,0.864
all_images,face,125,118,9,7,0.929,0.944,0.936
all_images,id-card,58,50,10,8,0.833,0.862,0.847
all_images,license-plates,45,42,5,3,0.894,0.933,0.913
all_images,passport,23,20,2,3,0.909,0.870,0.889
