slice,class,support,tp,fp,fn,precision,recall,f1
synthetic_only,barcode,0,0,0,0,0.0,0.0,0.0
synthetic_only,card,0,0,0,0,0.0,0.0,0.0
synthetic_only,code_screen,0,0,0,0,0.0,0.0,0.0
synthetic_only,document,1,1,0,0,1.0,1.0,1.0
synthetic_only,face,0,0,0,0,0.0,0.0,0.0
synthetic_only,id-card,0,0,0,0,0.0,0.0,0.0
synthetic_only,license-plates,0,0,0,0,0.0,0.0,0.0
synthetic_only,passport,0,0,0,0,0.0,0.0,0.0
real_only,barcode,0,0,0,0,0.0,0.0,0.0
real_only,card,0,0,0,0,0.0,0.0,0.0
real_only,code_screen,0,0,0,0,0.0,0.0,0.0
real_only,document,0,0,0,0,0.0,0.0,0.0
real_only,face,0,0,0,0,0.0,0.0,0.0
real_only,id-card,0,0,0,0,0.0,0.0,0.0
real_only,license-plates,0,0,0,0,0.0,0.0,0.0
real_only,passport,0,0,0,0,0.0,0.0,0.0
all_images,barcode,0,0,0,0,0.0,0.0,0.0
all_images,card,0,0,0,0,0.0,0.0,0.0
all_images,code_screen,0,0,0,0,0.0,0.0,0.0
all_images,document,1,1,0,0,1.0,1.0,1.0
all_images,face,0,0,0,0,0.0,0.0,0.0
all_images,id-card,0,0,0,0,0.0,0.0,0.0
all_images,license-plates,0,0,0,0,0.0,0.0,0.0
all_images,passport,0,0,0,0,0.0,0.0,0.0
