image_name,image_path,overall_risk_percent,detections_count,json_result_path
1fa148829e036d5473572918ee17581c_jpg.rf.ea18cd54656bf530ae3afdeab5b5ac94.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\1fa148829e036d5473572918ee17581c_jpg.rf.ea18cd54656bf530ae3afdeab5b5ac94.jpg,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\1fa148829e036d5473572918ee17581c_jpg.rf.ea18cd54656bf530ae3afdeab5b5ac94_20260327_151001_066239.json
Gemini_Generated_Image_x9kxpjx9kxpjx9kx.png,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\Gemini_Generated_Image_x9kxpjx9kxpjx9kx.png,0,0,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\Gemini_Generated_Image_x9kxpjx9kxpjx9kx_20260327_151352_585439.json
plate-2-1024x718.avif,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\plate-2-1024x718.avif,75,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\plate-2-1024x718_20260327_151525_680461.json
plate-2-1024x718.avif,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\plate-2-1024x718.avif,75,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\plate-2-1024x718_20260327_151831_921694.json
plate-2-1024x718.avif,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\plate-2-1024x718.avif,75,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\plate-2-1024x718_20260327_151858_366953.json
plate-2-1024x718.avif,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\plate-2-1024x718.avif,75,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\plate-2-1024x718_20260327_152040_092979.json
plate-2-1024x718.avif,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\plate-2-1024x718.avif,75,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\plate-2-1024x718_20260327_152235_696388.json
download.png,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\download.png,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\download_20260327_154222_212104.json
download.png,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\download.png,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\download_20260327_154247_627808.json
download.png,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\download.png,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\download_20260327_154500_756258.json
download.png,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\download.png,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\download_20260327_154634_208329.json
download.png,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\download.png,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\download_20260327_154804_104212.json
download.png,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\download.png,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\download_20260327_154828_184175.json
download.png,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\download.png,60,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\download_20260327_155001_291214.json
2_PNG.rf.9d11f1ddfcf749eacfbd08b498fb6d67.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\2_PNG.rf.9d11f1ddfcf749eacfbd08b498fb6d67.jpg,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\2_PNG.rf.9d11f1ddfcf749eacfbd08b498fb6d67_20260327_155320_017312.json
synthetic_document__08180.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\synthetic_document__08180.jpg,0,0,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\synthetic_document__08180_20260327_155342_974753.json
0000_jpg.rf.bca42bb72f42346f90dd918cc5096a3a.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\0000_jpg.rf.bca42bb72f42346f90dd918cc5096a3a.jpg,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\0000_jpg.rf.bca42bb72f42346f90dd918cc5096a3a_20260327_155358_731623.json
0000_jpg.rf.bca42bb72f42346f90dd918cc5096a3a.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\0000_jpg.rf.bca42bb72f42346f90dd918cc5096a3a.jpg,0,1,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\0000_jpg.rf.bca42bb72f42346f90dd918cc5096a3a_20260327_155722_720675.json
synthetic_document__09210.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\synthetic_document__09210.jpg,0,0,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\synthetic_document__09210_20260327_155830_971164.json
0000_random-11-_jpg.rf.42aa0099d88854ad31494efe925baad5.jpg,C:\Users\User\Documents\GitHub\LeakLock\uploaded_images\0000_random-11-_jpg.rf.42aa0099d88854ad31494efe925baad5.jpg,0,2,C:\Users\User\Documents\GitHub\LeakLock\analysis_results\json\0000_random-11-_jpg.rf.42aa0099d88854ad31494efe925baad5_20260327_155851_241080.json
