epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.498,1.02511,2.18875,1.2785,0.69819,0.63274,0.63521,0.45692,1.16438,1.50796,1.3292,0.000277292,0.000277292,0.000277292
2,273.474,1.00633,1.37552,1.23404,0.83365,0.64953,0.68295,0.51225,1.06269,1.09289,1.23634,0.00054397,0.00054397,0.00054397
3,387.347,0.99568,1.16674,1.22023,0.84404,0.65196,0.69404,0.512,1.08382,1.08793,1.25953,0.000799653,0.000799653,0.000799653
4,518.736,0.97931,1.06574,1.20335,0.86016,0.69901,0.74922,0.56929,1.01758,0.8951,1.17964,0.00078352,0.00078352,0.00078352
5,633.62,0.93726,0.97749,1.17871,0.83597,0.69236,0.73164,0.5433,1.03579,0.93509,1.22723,0.000767026,0.000767026,0.000767026
6,748.146,0.89755,0.88348,1.15851,0.74392,0.75373,0.77598,0.60214,0.92614,0.75985,1.11525,0.000750533,0.000750533,0.000750533
7,865.666,0.87848,0.84275,1.1448,0.86072,0.76504,0.78025,0.61514,0.89357,0.70356,1.1038,0.00073404,0.00073404,0.00073404
8,983.73,0.85836,0.80253,1.12988,0.88381,0.75542,0.78394,0.62117,0.8942,0.71124,1.11824,0.000717546,0.000717546,0.000717546
9,1102.4,0.85347,0.78184,1.11998,0.89509,0.73554,0.76048,0.6101,0.88215,0.67302,1.0981,0.000701053,0.000701053,0.000701053
10,1217.23,0.81743,0.74404,1.10489,0.8985,0.75126,0.79032,0.6415,0.86337,0.66705,1.08636,0.000684559,0.000684559,0.000684559
11,1329.97,0.8133,0.72857,1.10119,0.93149,0.75758,0.78922,0.64955,0.84058,0.64619,1.07319,0.000668066,0.000668066,0.000668066
12,1443.62,0.80188,0.70789,1.09887,0.88992,0.75299,0.77915,0.64108,0.85017,0.63179,1.0775,0.000651573,0.000651573,0.000651573
13,1556.45,0.79489,0.69101,1.09086,0.88807,0.76974,0.79105,0.64232,0.83705,0.60608,1.07424,0.000635079,0.000635079,0.000635079
14,1668.72,0.79021,0.67102,1.08341,0.88424,0.77978,0.78908,0.65227,0.83899,0.59279,1.09353,0.000618586,0.000618586,0.000618586
15,1781.84,0.77347,0.66324,1.07871,0.91012,0.77043,0.7917,0.66254,0.8106,0.58482,1.06581,0.000602092,0.000602092,0.000602092
16,1895.09,0.76171,0.63902,1.06944,0.91861,0.77115,0.79984,0.66753,0.81373,0.57076,1.05499,0.000585599,0.000585599,0.000585599
17,2008.13,0.76276,0.64104,1.07002,0.89901,0.7818,0.78852,0.65755,0.80971,0.57699,1.04899,0.000569106,0.000569106,0.000569106
18,2121.3,0.74553,0.62224,1.06266,0.8928,0.77614,0.7987,0.6709,0.78808,0.57197,1.05302,0.000552612,0.000552612,0.000552612
19,2234.65,0.7389,0.60733,1.05685,0.75728,0.7695,0.78979,0.6658,0.79605,0.57674,1.04986,0.000536119,0.000536119,0.000536119
20,2347.56,0.74126,0.60538,1.05847,0.92187,0.77,0.80184,0.67953,0.77319,0.53092,1.03763,0.000519625,0.000519625,0.000519625
21,2461.79,0.73264,0.59148,1.05543,0.89871,0.79046,0.79472,0.67437,0.77205,0.55509,1.04209,0.000503132,0.000503132,0.000503132
22,2574.18,0.72203,0.58484,1.04658,0.77877,0.77049,0.7998,0.67966,0.7753,0.56737,1.02324,0.000486639,0.000486639,0.000486639
23,2687.9,0.72285,0.58335,1.04624,0.92417,0.76452,0.80271,0.68209,0.75771,0.52302,1.02142,0.000470145,0.000470145,0.000470145
24,2801.21,0.70952,0.57124,1.03998,0.77347,0.78386,0.79714,0.67628,0.75522,0.54277,1.02225,0.000453652,0.000453652,0.000453652
25,2914.16,0.70766,0.56221,1.04105,0.9339,0.77622,0.80686,0.69348,0.75923,0.52718,1.02137,0.000437158,0.000437158,0.000437158
26,3027.71,0.70202,0.54975,1.03574,0.89987,0.78897,0.79836,0.67767,0.75366,0.53612,1.01961,0.000420665,0.000420665,0.000420665
27,3141.12,0.69795,0.5405,1.0322,0.92539,0.78332,0.79909,0.68651,0.74404,0.52689,1.01241,0.000404172,0.000404172,0.000404172
28,3254.31,0.68407,0.53016,1.02719,0.92218,0.7821,0.80425,0.68427,0.74115,0.51276,1.02389,0.000387678,0.000387678,0.000387678
29,3366.77,0.68093,0.52218,1.02389,0.7691,0.80035,0.80269,0.68886,0.74074,0.51124,1.0184,0.000371185,0.000371185,0.000371185
30,3479.86,0.67994,0.52211,1.02104,0.90656,0.79287,0.79996,0.68532,0.74217,0.51224,1.02525,0.000354691,0.000354691,0.000354691
31,3592.78,0.67824,0.51936,1.02283,0.77177,0.79436,0.80426,0.69243,0.7464,0.51663,1.01728,0.000338198,0.000338198,0.000338198
32,3706,0.66785,0.50734,1.01594,0.91931,0.78499,0.80605,0.69678,0.7276,0.49662,1.01513,0.000321705,0.000321705,0.000321705
33,3819.7,0.65431,0.50038,1.01192,0.90915,0.80119,0.80467,0.69911,0.72662,0.488,1.01016,0.000305211,0.000305211,0.000305211
34,3933.3,0.65751,0.49126,1.0124,0.92094,0.79084,0.80275,0.6936,0.72561,0.49115,1.01166,0.000288718,0.000288718,0.000288718
35,4046.6,0.65278,0.48695,1.00961,0.91918,0.78915,0.80404,0.69599,0.73204,0.51047,1.00907,0.000272224,0.000272224,0.000272224
36,4159.27,0.65114,0.48281,1.00924,0.92388,0.79285,0.80321,0.69653,0.72596,0.49612,1.00056,0.000255731,0.000255731,0.000255731
37,4272.58,0.64783,0.47974,1.00615,0.92011,0.79109,0.8046,0.69728,0.7296,0.49099,1.00545,0.000239238,0.000239238,0.000239238
